,Number,Name,Department,Functional_Group,Sp_Area_Designed,Area_Briefed,Area Dif
2447306,03.02.01.013,ANTEROOM FOR 1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,2.47,5.00,2.53
2572998,03.02.01.014,ANTEROOM FOR 1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,2.44,5.00,2.56
2449945,03.02.01.015,NURSE STATION (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,17.06,5.00,-12.06
4218096,03.02.01.016,NURSE STATION (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,7.71,5.00,-2.71
2568575,03.02.01.017,NURSE STATION (SATELLITE) (FOR 1-BED),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,5.53,3.00,-2.53
3827104,03.02.01.018,STORE (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,4.19,5.00,0.81
3827307,03.02.01.019,STORE (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,5.96,5.00,-0.96
2573410,03.02.01.020,TREATMENT ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,20.30,20.00,-0.30
2446436,03.02.01.021,STORE (LINEN),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,15.89,10.00,-5.89
2694091,03.02.01.022,CLEANER'S ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,7.46,3.00,-4.46
2692839,03.02.01.023,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,2.89,1.00,-1.89
2568621,03.02.01.024,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,1.14,1.00,-0.14
3445163,03.02.01.025,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,1.36,1.00,-0.36
2692830,03.02.01.026,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,3.95,1.00,-2.95
3827144,03.02.01.027,STAFF WC & SHOWER (M & F),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,9.77,1.00,-8.77
3859405,03.02.01.028,CLIENT WC (M / F / DISABLED),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,5.08,1.00,-4.08
2446991,03.02.01.029,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,4.86,1.00,-3.86
3826674,03.02.01.030,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,2.80,1.00,-1.80
2447035,03.02.01.031,STORE (MEDICATION) / MEDICATION ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,9.14,10.00,0.86
2447086,03.02.01.032,STORE (EQUIPMENT),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,19.17,15.00,-4.17
2447151,03.02.01.033,STORE (MEDICAL CONSUMABLE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.01 - PATIENT AREA (POD 1) -  ICU & MEDICAL HDU PATIENTS,15.74,15.00,-0.74
3826598,03.02.02.001,4-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,45.88,40.00,-5.88
2674276,03.02.02.002,4-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,45.88,40.00,-5.88
2568512,03.02.02.003,ENSUITE WC / SHOWER FOR 4-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,6.45,0.00,-6.45
3854853,03.02.02.004,2-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,24.21,20.00,-4.21
2869558,03.02.02.005,ENSUITE WC / SHOWER FOR 2-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,4.57,0.00,-4.57
2871205,03.02.02.006,1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,21.43,15.00,-6.43
2871129,03.02.02.007,1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,18.70,15.00,-3.70
2871072,03.02.02.008,1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,18.70,15.00,-3.70
2870642,03.02.02.009,1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,18.76,15.00,-3.76
2722053,03.02.02.010,ENSUITE WC / SHOWER FOR 1-BED,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,4.57,0.00,-4.57
2568557,03.02.02.011,NURSE STATION (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,11.03,5.00,-6.03
2572980,03.02.02.012,NURSE STATION (SATELLITE) (FOR 1-BED),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,6.69,3.00,-3.69
2720998,03.02.02.013,NURSE STATION (SATELLITE) (FOR 1-BED),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,13.47,3.00,-10.47
3852455,03.02.02.014,STORE (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,5.49,5.00,-0.49
3852465,03.02.02.015,STORE (SATELLITE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,5.34,5.00,-0.34
2720319,03.02.02.016,TREATMENT ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,20.09,20.00,-0.09
2573333,03.02.02.017,HYDRAULIC BATH ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,20.09,20.00,-0.09
2573142,03.02.02.018,STORE (LINEN),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,8.74,10.00,1.26
2446501,03.02.02.019,CLEANER'S ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,3.99,3.00,-0.99
3852485,03.02.02.020,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,5.24,1.00,-4.24
3852621,03.02.02.021,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,6.25,1.00,-5.25
3445208,03.02.02.022,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,2.90,1.00,-1.90
3445218,03.02.02.023,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,1.69,1.00,-0.69
3445228,03.02.02.024,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,2.40,1.00,-1.40
3852749,03.02.02.025,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,3.04,1.00,-2.04
3852735,03.02.02.026,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,5.10,1.00,-4.10
3852482,03.02.02.027,ALCOVE (TROLLEY),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,4.12,1.00,-3.12
2573173,03.02.02.028,STORE (MEDICATION) / MEDICATION ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,10.56,10.00,-0.56
3852475,03.02.02.029,STORE (EQUIPMENT),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,10.51,15.00,4.49
2572898,03.02.02.030,STORE (MEDICAL CONSUMABLE),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.02 - PATIENT AREA (POD 2) - SURGICAL HDU & BURN PATIENTS,25.33,15.00,-10.33
2573578,03.02.03.001,END-OF-LIFE ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,20.29,20.00,-0.29
2573028,03.02.03.002,ENSUITE WC / SHOWER FOR END-OF-LIFE ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,6.70,0.00,-6.70
2090087,03.02.03.003,NURSE STATION (CENTRAL),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,26.29,10.00,-16.29
1990906,03.02.03.004,NURSE STATION (CENTRAL),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,27.37,10.00,-17.37
2530340,03.02.03.005,DOCTOR WORKROOM / MEDICAL RECORD HOLDING,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,5.17,10.00,4.83
2574912,03.02.03.006,PATIENT MEAL PREPARATION ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,3.85,9.00,5.15
2578738,03.02.03.012,OFFICE (WM/NO),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,10.62,12.00,1.38
2446232,03.02.03.013,STAFF COMMON ROOM CUM PANTRY,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,16.28,20.00,3.72
2573160,03.02.03.014,DIRTY UTILITY,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,8.66,10.00,1.34
2572916,03.02.03.015,REFUSE,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,11.75,10.00,-1.75
3852412,03.02.03.016,SOILED LINEN,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,4.89,10.00,5.11
2572931,03.02.03.017,STAFF WC (M),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,2.93,0.00,-2.93
2572946,03.02.03.018,STAFF WC (F),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,2.93,0.00,-2.93
2572965,03.02.03.019,PATIENT WC (M),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,2.93,0.00,-2.93
2572971,03.02.03.020,PATIENT WC (F),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,2.93,0.00,-2.93
3852421,03.02.03.021,WC (ACCESSIBLE / DISABLED / UNISEX),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.03 - SUPPORT AREA,5.10,0.00,-5.10
2574900,03.02.04.001,RECEPTION,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,8.58,5.00,-3.58
2574932,03.02.04.002,GOWN DOWN,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,4.09,5.00,0.91
2573814,03.02.04.003,ADMISSION,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,17.08,12.00,-5.08
2573970,03.02.04.004,INTERVIEW ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,10.77,10.00,-0.77
3852440,03.02.04.005,INTERVIEW ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,11.95,10.00,-1.95
2573900,03.02.04.006,DAY ROOM / FAMILY,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,17.49,15.00,-2.49
2573737,03.02.04.007,OFFICE (DOM & CLERK),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,11.40,10.00,-1.40
2720357,03.02.04.008,OFFICE (APN/NO),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,23.35,37.00,13.65
1929067,03.02.04.009,OFFICE (MO),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,6.10,23.00,16.90
2720522,03.02.04.010,OFFICE (SMO),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,7.47,8.00,0.53
2534059,03.02.04.011,MO CALL ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,8.26,7.00,-1.26
2534101,03.02.04.012,MO CALL ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,6.92,7.00,0.08
2720810,03.02.04.013,MO CALL ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,6.95,7.00,0.05
2720813,03.02.04.014,ENSUITE WC / SHOWER FOR MO CALL ROOM,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,4.41,0.00,-4.41
2549713,03.02.04.015,STAFF CHANGE ROOM / LOCKER / SHOWER (F),"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,47.28,40.00,-7.28
1926119,03.02.04.016,STAFF CHANGE ROOM / LOCKER / SHOWER M,"03 - INTENSIVE CARE UNIT, HIGH DEPENDENCY UNIT & BURN FACILITIES",03.02.04 - SHARED FACILITIES,52.48,35.00,-17.48
3896720,04.01.00.001,RECEPTION,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.99,5.00,0.01
3896750,04.01.00.002,GOWN UP ROOM FOR NICU (VISITOR),04 - NEO-NATAL INTENSIVE CARE UNIT,,5.12,5.00,-0.12
3896747,04.01.00.003,GOWN DOWN ROOM FOR NICU (VISITOR),04 - NEO-NATAL INTENSIVE CARE UNIT,,5.31,5.00,-0.31
3896738,04.01.00.004,INTERVIEW ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,10.00,10.00,0.00
3896864,04.02.00.001,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,31.92,28.00,-3.92
3896861,04.02.00.002,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,31.92,0.00,-31.92
3896867,04.02.00.003,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,31.92,0.00,-31.92
3896870,04.02.00.004,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,31.92,0.00,-31.92
4034037,04.02.00.005,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,24.00,0.00,-24.00
4027591,04.02.00.006,NICU DOUBLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,24.00,0.00,-24.00
3904927,04.02.00.008,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.19,0.00,-4.19
3904940,04.02.00.009,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.19,0.00,-4.19
3904959,04.02.00.010,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.08,0.00,-4.08
3905775,04.02.00.011,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.86,0.00,-4.86
3916331,04.02.00.012,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.86,0.00,-4.86
3905658,04.02.00.013,NICU ISOLATION,04 - NEO-NATAL INTENSIVE CARE UNIT,,14.06,18.00,3.94
3896876,04.02.00.014,NICU ISOLATION,04 - NEO-NATAL INTENSIVE CARE UNIT,,14.06,0.00,-14.06
3905592,04.02.00.015,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,3.71,0.00,-3.71
3905664,04.02.00.016,WORK COUNTER,04 - NEO-NATAL INTENSIVE CARE UNIT,,3.71,0.00,-3.71
3905241,04.02.00.017,ANTEROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.97,5.00,0.03
3905661,04.02.00.018,ANTEROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.97,5.00,0.03
3905861,04.02.00.019,NICU SINGLE-COT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,13.91,18.00,4.09
3910696,04.02.00.022,NURSE STATION (SATELLITE),04 - NEO-NATAL INTENSIVE CARE UNIT,,5.29,3.00,-2.29
3906415,04.02.00.023,NURSE STATION (SATELLITE),04 - NEO-NATAL INTENSIVE CARE UNIT,,8.34,3.00,-5.34
3910754,04.02.00.024,NURSE STATION (SATELLITE),04 - NEO-NATAL INTENSIVE CARE UNIT,,2.99,3.00,0.01
4036981,04.02.00.025,NURSE STATION (SATELLITE),04 - NEO-NATAL INTENSIVE CARE UNIT,,3.29,3.00,-0.29
3904998,04.02.00.026,SATELLITE STORE,04 - NEO-NATAL INTENSIVE CARE UNIT,,5.63,5.00,-0.63
3910594,04.02.00.027,SATELLITE STORE,04 - NEO-NATAL INTENSIVE CARE UNIT,,6.47,5.00,-1.47
3910337,04.02.00.028,MEDICATION PREPARATION ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,15.03,15.00,-0.03
3896789,04.02.00.029,PROCEDURE ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,20.09,20.00,-0.09
3910000,04.02.00.030,LASER ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,20.09,20.00,-0.09
3910131,04.02.00.031,EQUIPMENT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,21.64,20.00,-1.64
3910310,04.02.00.032,EQUIPMENT ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,20.01,20.00,-0.01
3896801,04.02.00.033,BREAST FEEDING ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,9.07,10.00,0.93
3896816,04.02.00.034,MILK PROCESSING ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,9.93,10.00,0.07
3910003,04.02.00.035,SOILED LINEN,04 - NEO-NATAL INTENSIVE CARE UNIT,,15.00,15.00,0.00
3896810,04.02.00.036,INVESTIGATION ROOM (POCT ROOM),04 - NEO-NATAL INTENSIVE CARE UNIT,,11.46,10.00,-1.46
3896813,04.02.00.037,EQUIPMENT CLEANSING,04 - NEO-NATAL INTENSIVE CARE UNIT,,9.91,10.00,0.09
3911515,04.02.00.038,DIRTY UTILITY,04 - NEO-NATAL INTENSIVE CARE UNIT,,9.91,10.00,0.09
3911502,04.02.00.039,STORE (LINEN),04 - NEO-NATAL INTENSIVE CARE UNIT,,9.91,10.00,0.09
3910496,04.02.00.040,STORE (PPE / GENERAL CONSUMABLES),04 - NEO-NATAL INTENSIVE CARE UNIT,,15.03,15.00,-0.03
3910951,04.02.00.041,STORE (MEDICAL CONSUMABLE),04 - NEO-NATAL INTENSIVE CARE UNIT,,21.92,20.00,-1.92
3896828,04.02.00.042,STORE (INCUBATOR),04 - NEO-NATAL INTENSIVE CARE UNIT,,39.93,40.00,0.07
3896831,04.02.00.043,REFUSE,04 - NEO-NATAL INTENSIVE CARE UNIT,,15.00,15.00,0.00
3896759,04.02.00.044,WC (ACCESSIBLE/DISABLED/UNISEX),04 - NEO-NATAL INTENSIVE CARE UNIT,,6.98,0.00,-6.98
3896756,04.02.00.045,PUBLIC WC (M),04 - NEO-NATAL INTENSIVE CARE UNIT,,2.69,0.00,-2.69
3896753,04.02.00.046,PUBLIC WC (F),04 - NEO-NATAL INTENSIVE CARE UNIT,,2.69,0.00,-2.69
3914374,04.02.00.047,STAFF WC (F),04 - NEO-NATAL INTENSIVE CARE UNIT,,2.57,0.00,-2.57
3914377,04.02.00.048,STAFF WC (M),04 - NEO-NATAL INTENSIVE CARE UNIT,,2.57,0.00,-2.57
3911773,04.02.00.049,CLEANER'S ROOM,04 - NEO-NATAL INTENSIVE CARE UNIT,,4.38,3.00,-1.38
3896714,05.01.00.001,RECEPTION,05 - SPECIAL CARE BABY UNIT,,4.99,5.00,0.01
3896744,05.01.00.002,GOWN UP ROOM FOR SCBU (VISITOR),05 - SPECIAL CARE BABY UNIT,,5.04,5.00,-0.04
3896741,05.01.00.003,GOWN DOWN ROOM FOR SCBU (VISITOR),05 - SPECIAL CARE BABY UNIT,,5.04,5.00,-0.04
3896717,05.01.00.004,INTERVIEW ROOM,05 - SPECIAL CARE BABY UNIT,,10.20,10.00,-0.20
3896483,05.02.00.001,SCBU 6-COT ROOM,05 - SPECIAL CARE BABY UNIT,,60.00,64.00,4.00
4003895,05.02.00.002,SCBU 6-COT ROOM,05 - SPECIAL CARE BABY UNIT,,60.00,0.00,-60.00
4003970,05.02.00.003,SCBU 6-COT ROOM,05 - SPECIAL CARE BABY UNIT,,60.00,0.00,-60.00
4003920,05.02.00.004,SCBU 6-COT ROOM,05 - SPECIAL CARE BABY UNIT,,60.00,0.00,-60.00
4003945,05.02.00.005,SCBU 6-COT ROOM,05 - SPECIAL CARE BABY UNIT,,60.00,0.00,-60.00
3896396,05.02.00.007,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.27,0.00,-5.27
4005791,05.02.00.008,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.16,0.00,-5.16
3896765,05.02.00.009,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.27,0.00,-5.27
3896768,05.02.00.010,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.27,0.00,-5.27
3896774,05.02.00.011,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.26,0.00,-5.26
3896771,05.02.00.012,WORK COUNTER,05 - SPECIAL CARE BABY UNIT,,5.04,0.00,-5.04
